shortest_path	target_node
>KRAS>ELAVL1>YWHAG>KLC3	KLC3
>KRAS>RAF1>YWHAE>KLC3	KLC3
>KRAS>UBC>YWHAE>KLC3	KLC3
>KRAS>PHB>YWHAE>KLC3	KLC3
>KRAS>CALM1>YWHAE>KLC3	KLC3
>KRAS>HNRNPC>YWHAE>KLC3	KLC3
>KRAS>RAP1GDS1>YWHAE>KLC3	KLC3
>KRAS>EEF1A1>CUL2>KLC3	KLC3
>KRAS>UBC>CUL2>KLC3	KLC3
>KRAS>HDAC3>CUL2>KLC3	KLC3
>KRAS>ELAVL1>CUL2>KLC3	KLC3
>KRAS>HNRNPC>CUL2>KLC3	KLC3
>KRAS>CALM1>DYNC1I1>KLC3	KLC3
>KRAS>DNAJA3>EGFR>DOK5	DOK5
>KRAS>EEF1A1>EGFR>DOK5	DOK5
>KRAS>UBC>EGFR>DOK5	DOK5
>KRAS>PIK3R2>EGFR>DOK5	DOK5
>KRAS>UBC>BNIP3L>DOK5	DOK5
>KRAS>UBC>RET>DOK5	DOK5
>KRAS>HNRNPC>CCDC85B>DOK5	DOK5
>KRAS>APP>HERPUD1>IL23A>IL23R	IL23R
>KRAS>UBC>HERPUD1>IL23A>IL23R	IL23R
>KRAS>UBC>SNRPD3>IL12RB1>IL23R	IL23R
>KRAS>ELAVL1>SNRPD3>IL12RB1>IL23R	IL23R
>KRAS>UBC>TRIP13>SIGLEC5	SIGLEC5
>KRAS>UBC>CNBP	CNBP
>KRAS>HNRNPC>CNBP	CNBP
>KRAS>UBC>ADCK3	ADCK3
>KRAS>SHOC2>MYC>LECT1	LECT1
>KRAS>RAF1>MYC>LECT1	LECT1
>KRAS>DNAJA3>MYC>LECT1	LECT1
>KRAS>UBC>MYC>LECT1	LECT1
>KRAS>HDAC1>MYC>LECT1	LECT1
>KRAS>HDAC3>MYC>LECT1	LECT1
>KRAS>CALM1>MYC>LECT1	LECT1
>KRAS>MAPK1>MYC>LECT1	LECT1
>KRAS>ELAVL1>MYC>LECT1	LECT1
>KRAS>HNRNPC>MYC>LECT1	LECT1
>KRAS>APP>APOA1>LECT1	LECT1
>KRAS>UBC>ZMYM2	ZMYM2
>KRAS>HDAC1>ZMYM2	ZMYM2
>KRAS>ELAVL1>ZMYM2	ZMYM2
>KRAS>UBC>RNF111	RNF111
>KRAS>UBC>SGPL1	SGPL1
>KRAS>ELAVL1>SGPL1	SGPL1
>KRAS>CALM1>SLX1B	SLX1B
>KRAS>UBC>SLTM	SLTM
>KRAS>CALM1>SLTM	SLTM
>KRAS>UBC>HCN1	HCN1
>KRAS>EEF1A1>RAD52	RAD52
>KRAS>RAF1>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>DNAJA3>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>EEF1A1>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>APP>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>UBC>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>CALM1>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>SIRT1>HSP90AA1>HLA-DRB3	HLA-DRB3
>KRAS>RAF1>YWHAE>HLA-DRB3	HLA-DRB3
>KRAS>UBC>YWHAE>HLA-DRB3	HLA-DRB3
>KRAS>PHB>YWHAE>HLA-DRB3	HLA-DRB3
>KRAS>CALM1>YWHAE>HLA-DRB3	HLA-DRB3
>KRAS>HNRNPC>YWHAE>HLA-DRB3	HLA-DRB3
>KRAS>RAP1GDS1>YWHAE>HLA-DRB3	HLA-DRB3
>KRAS>RAF1>HSPA8>HLA-DRB3	HLA-DRB3
>KRAS>DNAJA3>HSPA8>HLA-DRB3	HLA-DRB3
>KRAS>EEF1A1>HSPA8>HLA-DRB3	HLA-DRB3
>KRAS>APP>HSPA8>HLA-DRB3	HLA-DRB3
>KRAS>UBC>HSPA8>HLA-DRB3	HLA-DRB3
