STUDY_ID	SAMPLE_ID	HSP90AA1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62O-01	61728.6
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62P-01	20986.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62S-01	25843.4
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TA-01	27494.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TB-01	14880.3
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TC-01	25273.2
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TD-01	67071.7999999999
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TE-01	30622.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TF-01	18166.4
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TG-01	20731.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TH-01	26082.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TI-01	19618.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TK-01	27604.2
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3Z7-01	10866.4
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3Z9-01	17793.5
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3ZE-01	24856.9
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A3ZF-01	22805.4
blca_tcga_pan_can_atlas_2018	TCGA-FJ-A871-01	24681.1
blca_tcga_pan_can_atlas_2018	TCGA-FT-A3EE-01	32618.2
blca_tcga_pan_can_atlas_2018	TCGA-FT-A61P-01	21610
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EC-01	25739.6
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EF-01	19553.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EJ-01	25779.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EK-01	20550.8
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EL-01	59988.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EO-01	60402.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2ES-01	60709.3
blca_tcga_pan_can_atlas_2018	TCGA-G2-A3IB-01	38981.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A3IE-01	19777.4
blca_tcga_pan_can_atlas_2018	TCGA-G2-A3VY-01	29240.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3B-01	17266.9
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3C-01	19326.5
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3D-01	23518.6
blca_tcga_pan_can_atlas_2018	TCGA-G2-AA3F-01	37671.4
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3BM-01	38683.6
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3I6-01	27863.3
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3OO-01	23269.7
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3RB-01	33159.1
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3RC-01	23539.8
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3RD-01	15260.7
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3WC-01	35345.5
blca_tcga_pan_can_atlas_2018	TCGA-GC-A3YS-01	24182.6
blca_tcga_pan_can_atlas_2018	TCGA-GC-A4ZW-01	49731.8
blca_tcga_pan_can_atlas_2018	TCGA-GC-A6I1-01	33706.2
blca_tcga_pan_can_atlas_2018	TCGA-GC-A6I3-01	39090.5
blca_tcga_pan_can_atlas_2018	TCGA-GD-A2C5-01	42612.4
blca_tcga_pan_can_atlas_2018	TCGA-GD-A3OP-01	39580.7
blca_tcga_pan_can_atlas_2018	TCGA-GD-A3OQ-01	26789.9
blca_tcga_pan_can_atlas_2018	TCGA-GD-A3OS-01	25290.9
blca_tcga_pan_can_atlas_2018	TCGA-GD-A6C6-01	25874.2
blca_tcga_pan_can_atlas_2018	TCGA-GD-A76B-01	43225.2
blca_tcga_pan_can_atlas_2018	TCGA-GU-A42P-01	20865.4
blca_tcga_pan_can_atlas_2018	TCGA-GU-A42Q-01	26800.9
blca_tcga_pan_can_atlas_2018	TCGA-GU-A42R-01	39717.5
blca_tcga_pan_can_atlas_2018	TCGA-GU-A762-01	17652
blca_tcga_pan_can_atlas_2018	TCGA-GU-A763-01	21032
