STUDY_ID	SAMPLE_ID	EGFR
blca_tcga_pan_can_atlas_2018	TCGA-E5-A4U1-01	52.8801
blca_tcga_pan_can_atlas_2018	TCGA-E7-A3X6-01	1751.36
blca_tcga_pan_can_atlas_2018	TCGA-E7-A3Y1-01	304.322
blca_tcga_pan_can_atlas_2018	TCGA-E7-A4IJ-01	181.469
blca_tcga_pan_can_atlas_2018	TCGA-E7-A4XJ-01	376.35
blca_tcga_pan_can_atlas_2018	TCGA-E7-A519-01	65.3924
blca_tcga_pan_can_atlas_2018	TCGA-E7-A541-01	390.743
blca_tcga_pan_can_atlas_2018	TCGA-E7-A5KE-01	550.633
blca_tcga_pan_can_atlas_2018	TCGA-E7-A5KF-01	859.6
blca_tcga_pan_can_atlas_2018	TCGA-E7-A677-01	1708.18
blca_tcga_pan_can_atlas_2018	TCGA-E7-A678-01	101.761
blca_tcga_pan_can_atlas_2018	TCGA-E7-A6MD-01	514.035
blca_tcga_pan_can_atlas_2018	TCGA-E7-A6ME-01	434.444
blca_tcga_pan_can_atlas_2018	TCGA-E7-A6MF-01	2349.4
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7DU-01	135.04
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7DV-01	973.446
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7PW-01	7009.07
blca_tcga_pan_can_atlas_2018	TCGA-E7-A7XN-01	1158.96
blca_tcga_pan_can_atlas_2018	TCGA-E7-A85H-01	48.7997
blca_tcga_pan_can_atlas_2018	TCGA-E7-A8O7-01	977.823
blca_tcga_pan_can_atlas_2018	TCGA-E7-A97P-01	537.754
blca_tcga_pan_can_atlas_2018	TCGA-E7-A97Q-01	943.86
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B3-01	2369.22
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B4-01	894.326
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B5-01	5398.08
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B6-01	10639.1
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B7-01	18458.8
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3B8-01	1795.87
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3N5-01	37393.5
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3N6-01	3296.09
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3NA-01	1605.83
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SJ-01	311.512
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SL-01	285.376
